QUARTER;TWITTER;FACEBOOK
Q1 '10;30.0;431.0
Q2 '10;40.0;482.0
Q3 '10;49.0;550.0
Q4 '10;54.0;608.0
Q1 '11;68.0;680.0
Q2 '11;85.0;739.0
Q3 '11;101.0;800.0
Q4 '11;117.0;845.0
Q1 '12;138.0;901.0
Q2 '12;151.0;955.0
Q3 '12;167.0;1007.0
Q4 '12;185.0;1056.0
Q1 '13;204.0;1110.0
Q2 '13;218.0;1155.0
Q3 '13;231.7;1189.0
Q4 '13;241.0;1228.0
Q1 '14;255.0;1276.0
Q2 '14;271.0;1317.0
Q3 '14;284.0;1350.0
Q4 '14;288.0;1393.0
Q1 '15;302.0;1441.0
Q2 '15;304.0;1490.0
Q3 '15;307.0;1545.0
Q4 '15;305.0;1591.0
Q1 '16;310.0;1654.0
Q2 '16;313.0;1712.0
Q3 '16;317.0;1788.0
Q4 '16;318.0;1860.0
Q1 '17;327.0;1936.0
Q2 '17;326.0;2006.0
Q3 '17;330.0;2072.0
Q4 '17;330.0;2129.0
Q1 '18;336.0;2196.0
Q2 '18;335.0;2234.0
Q3 '18;326.0;2271.0
